cts,date,Accelerometer (z) [m/s²],Accelerometer (x) [m/s²],Accelerometer (y) [m/s²],temperature [°C]
0,2025-01-28T19:00:54.655Z,-17.20334928229665,-0.562200956937799,0.5143540669856459,25
5.213541666666667,2025-01-28T19:00:54.659Z,-13.595693779904305,0.09330143540669857,0.34210526315789475,25
10.427083333333334,2025-01-28T19:00:54.664Z,-8.208133971291867,-0.25598086124401914,0.34210526315789475,25
15.640625,2025-01-28T19:00:54.669Z,-9.002392344497608,-0.2751196172248804,0.3803827751196172,25
20.854166666666668,2025-01-28T19:00:54.674Z,-9.098086124401913,-0.2942583732057416,0.47607655502392343,25
26.067708333333336,2025-01-28T19:00:54.679Z,-9.0311004784689,-0.03588516746411483,0.6770334928229665,25
31.281250000000004,2025-01-28T19:00:54.684Z,-9.069377990430622,0.09330143540669857,0.6770334928229665,25
36.49479166666667,2025-01-28T19:00:54.689Z,-9.251196172248804,0.10287081339712918,0.5334928229665071,25
41.708333333333336,2025-01-28T19:00:54.693Z,-9.375598086124402,0.03588516746411483,0.43779904306220097,25
46.921875,2025-01-28T19:00:54.698Z,-9.394736842105264,-0.045454545454545456,0.5334928229665071,25
52.135416666666664,2025-01-28T19:00:54.703Z,-9.366028708133971,-0.07416267942583732,0.5334928229665071,25
57.34895833333333,2025-01-28T19:00:54.708Z,-9.423444976076555,-0.10287081339712918,0.5143540669856459,25
62.56249999999999,2025-01-28T19:00:54.713Z,-9.452153110047847,-0.12200956937799043,0.5526315789473685,25
67.77604166666666,2025-01-28T19:00:54.718Z,-9.394736842105264,-0.16028708133971292,0.5143540669856459,25
72.98958333333333,2025-01-28T19:00:54.723Z,-9.318181818181818,-0.1507177033492823,0.49521531100478466,25
78.203125,2025-01-28T19:00:54.728Z,-9.251196172248804,-0.21770334928229665,0.47607655502392343,25
83.41666666666667,2025-01-28T19:00:54.732Z,-9.098086124401913,-0.26555023923444976,0.4473684210526316,25
88.63020833333334,2025-01-28T19:00:54.737Z,-8.705741626794259,-0.25598086124401914,0.4473684210526316,25
93.84375000000001,2025-01-28T19:00:54.742Z,-8.523923444976077,-0.23684210526315788,0.4569377990430622,25
99.05729166666669,2025-01-28T19:00:54.747Z,-8.409090909090908,-0.26555023923444976,0.4090909090909091,25
104.27083333333336,2025-01-28T19:00:54.752Z,-8.409090909090908,-0.3133971291866029,0.39952153110047844,25
109.48437500000003,2025-01-28T19:00:54.757Z,-8.724880382775119,-0.23684210526315788,0.35167464114832536,25
