cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D speed) [m/s],GPS (3D speed) [m/s],fix,precision
4204.2,2025-01-28T19:00:58.856Z,23.7239063,90.4108109,50.2864859634004,1.45,1.51,3,153
4270.933333333333,2025-01-28T19:00:58.919Z,23.7239058,90.4108098,50.2344859634004,1.447,1.5,3,153
4337.666666666667,2025-01-28T19:00:58.981Z,23.7239054,90.4108095,50.2014859634004,1.386,1.49,3,153
4404.400000000001,2025-01-28T19:00:59.043Z,23.7239051,90.4108093,50.17448596340041,1.326,1.44,3,153
4471.133333333334,2025-01-28T19:00:59.106Z,23.7239048,90.4108089,50.16848596340041,1.278,1.38,3,153
4537.866666666668,2025-01-28T19:00:59.168Z,23.7239042,90.4108084,50.126485963400405,1.308,1.33,3,153
4604.600000000001,2025-01-28T19:00:59.230Z,23.7239027,90.4108076,50.03748596340041,1.38,1.36,3,153
4671.333333333335,2025-01-28T19:00:59.293Z,23.7239017,90.4108069,49.9994859634004,1.453,1.44,3,153
4738.066666666668,2025-01-28T19:00:59.355Z,23.7239009,90.4108067,49.962485963400404,1.477,1.51,3,153
4804.800000000002,2025-01-28T19:00:59.417Z,23.7238997,90.410806,49.940485963400405,1.454,1.53,3,153
4871.533333333336,2025-01-28T19:00:59.480Z,23.7238986,90.4108065,50.056485963400405,1.489,1.51,3,153
4938.266666666669,2025-01-28T19:00:59.542Z,23.7238979,90.4108065,50.1154859634004,1.473,1.54,3,153
5005,2025-01-28T19:00:59.605Z,23.7238966,90.4108079,50.15948596340041,1.493,1.52,3,153
5057.684210526316,2025-01-28T19:00:59.660Z,23.7238959,90.4108082,50.17148596340041,1.477,1.54,3,153
5110.368421052632,2025-01-28T19:00:59.715Z,23.7238956,90.4108083,50.16848596340041,1.409,1.52,3,153
5163.0526315789475,2025-01-28T19:00:59.770Z,23.7238947,90.4108084,50.1614859634004,1.428,1.46,3,153
5215.736842105263,2025-01-28T19:00:59.825Z,23.7238932,90.4108091,50.13748596340041,1.497,1.48,3,153
5268.421052631579,2025-01-28T19:00:59.880Z,23.7238923,90.4108095,50.16548596340041,1.494,1.54,3,153
5321.105263157895,2025-01-28T19:00:59.935Z,23.7238913,90.4108102,50.208485963400406,1.508,1.54,3,153
5373.789473684211,2025-01-28T19:00:59.990Z,23.7238904,90.4108109,50.245485963400405,1.508,1.55,3,153
5426.473684210527,2025-01-28T19:01:00.045Z,23.7238895,90.4108117,50.29048596340041,1.506,1.55,3,153
5479.1578947368425,2025-01-28T19:01:00.100Z,23.7238887,90.4108123,50.3204859634004,1.506,1.54,3,153
5531.842105263158,2025-01-28T19:01:00.155Z,23.723888,90.4108128,50.367485963400405,1.471,1.54,3,153
5584.526315789474,2025-01-28T19:01:00.210Z,23.7238877,90.4108133,50.4544859634004,1.388,1.51,3,153
5637.21052631579,2025-01-28T19:01:00.265Z,23.7238873,90.4108138,50.53148596340041,1.34,1.42,3,153
5689.894736842106,2025-01-28T19:01:00.320Z,23.7238865,90.4108141,50.5764859634004,1.34,1.37,3,153
5742.578947368422,2025-01-28T19:01:00.375Z,23.7238861,90.4108142,50.5734859634004,1.275,1.37,3,153
5795.263157894738,2025-01-28T19:01:00.430Z,23.7238857,90.4108143,50.51548596340041,1.182,1.31,3,153
5847.947368421053,2025-01-28T19:01:00.485Z,23.7238851,90.4108145,50.5084859634004,1.143,1.22,3,153
5900.631578947369,2025-01-28T19:01:00.540Z,23.7238848,90.4108146,50.400485963400406,1.033,1.18,3,153
5953.315789473685,2025-01-28T19:01:00.595Z,23.7238844,90.4108143,50.336485963400406,0.965,1.08,3,153
6006,2025-01-28T19:01:00.650Z,23.7238839,90.4108142,50.3194859634004,0.949,1.02,3,153
6064.882352941177,2025-01-28T19:01:00.708Z,23.7238834,90.4108143,50.379485963400406,0.947,1.01,3,153
