Precision Timestamp,Sensor Latitude,Sensor Longitude,Sensor Ellipsoid Height,Sensor True Altitude,Platform Pitch Angle,Platform Roll Angle,Sensor Relative Roll Angle,Sensor Relative Elevation Angle,Sensor Relative Azimuth Angle,Sensor Horizontal Field of View,Sensor Vertical Field of View
1738089101419000,23.7558414,90.4019543,21.8702520830699,21.8702520830699,0.7288472094278933,2.5849017414109925,-0.6261980830670927,-0.329073482428115,1.2790202342917998,122.0,94.0
1738089101474000,23.7558449,90.4019509,21.441252083069894,21.441252083069894,-2.754079366194098,6.544328232021861,0.5873269435569755,0.4094781682641107,0.959531416400426,122.0,94.0
1738089101529000,23.7558446,90.4019477,21.6232520830699,21.6232520830699,-6.875521382676145,5.171883342207104,-0.3099041533546325,-0.1437699680511182,1.0410010649627264,122.0,94.0
1738089101584000,23.7558459,90.4019441,21.6532520830699,21.6532520830699,-5.123491364402674,9.012657200198186,-0.4275825346112886,-0.349307774227902,1.722577209797657,122.0,94.0
1738089101639000,23.7558484,90.4019406,21.758252083069895,21.758252083069895,-4.823611315672491,-2.3732471626248843,0.0878594249201278,-0.5394036208732694,0.8248136315228967,122.0,94.0
1738089101694000,23.7558501,90.4019386,22.015252083069903,22.015252083069903,3.7581625010510575,10.49036865469105,-0.2939297124600639,-0.2337593184238551,1.359957401490948,122.0,94.0
1738089101749000,23.7558517,90.4019368,22.298252083069904,22.298252083069904,1.4999562841799485,0.25672080670641284,0.0058572949946751,0.3525026624068157,0.5867944621938233,122.0,94.0
1738089101804000,23.7558533,90.4019361,22.372252083069903,22.372252083069903,0.2477654072302242,3.1703969049031917,0.2534611288604899,-0.0750798722044728,0.6629392971246006,122.0,94.0
1738089101859000,23.7558546,90.4019358,22.377252083069894,22.377252083069894,23.276516761826414,-2.6945796076521327,-0.9233226837060704,-1.0271565495207668,0.8407880724174653,122.0,94.0
1738089101914000,23.7558558,90.4019357,22.5262520830699,22.5262520830699,0.9652226959867652,8.374289342762054,-0.3008519701810436,0.1501597444089457,0.275825346112886,122.0,94.0
1738089101969000,23.7558572,90.4019353,22.6632520830699,22.6632520830699,6.197798641989662,9.85515069819419,1.692758253461129,0.1038338658146964,1.597444089456869,122.0,94.0
1738089102024000,23.7558591,90.4019342,22.7112520830699,22.7112520830699,9.944215841997199,7.1125816505470345,-0.1570820021299254,0.7619808306709265,0.1512247071352502,122.0,94.0
1738089102079000,23.755861,90.4019339,22.7662520830699,22.7662520830699,0.7274028658871295,0.23424274052263905,0.1118210862619808,0.1725239616613418,0.2066027689030884,122.0,94.0
1738089102134000,23.7558626,90.4019341,22.9092520830699,22.9092520830699,9.378164284535192,8.213887706948146,-0.8024494142705005,0.1357827476038338,0.1773162939297124,122.0,94.0
1738089102189000,23.7558643,90.401934,23.039252083069904,23.039252083069904,3.2620251122014743,6.019895383714252,-1.2236421725239617,0.3652822151224707,0.7145899893503728,122.0,94.0
