cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D speed) [m/s],GPS (3D speed) [m/s],fix,precision
0,2025-01-28T18:35:02.279Z,23.7570225,90.3993469,14.27619308662873,0.088,0.14,3,172
55.611111111111114,2025-01-28T18:35:02.334Z,23.7570224,90.3993472,14.253193086628727,0.049,0.13,3,172
111.22222222222223,2025-01-28T18:35:02.389Z,23.7570222,90.3993476,14.228193086628728,0.063,0.1,3,172
166.83333333333334,2025-01-28T18:35:02.444Z,23.7570219,90.3993475,14.207193086628727,0.086,0.11,3,172
222.44444444444446,2025-01-28T18:35:02.499Z,23.7570216,90.3993473,14.202193086628725,0.076,0.12,3,172
278.05555555555554,2025-01-28T18:35:02.554Z,23.7570215,90.3993473,14.19419308662873,0.074,0.12,3,172
333.66666666666663,2025-01-28T18:35:02.609Z,23.7570213,90.399347,14.195193086628727,0.075,0.12,3,172
389.2777777777777,2025-01-28T18:35:02.664Z,23.7570209,90.3993462,14.259193086628727,0.069,0.12,3,172
444.8888888888888,2025-01-28T18:35:02.719Z,23.7570208,90.3993461,14.302193086628726,0.063,0.12,3,172
500.4999999999999,2025-01-28T18:35:02.774Z,23.7570208,90.3993467,14.292193086628728,0.089,0.11,3,172
556.111111111111,2025-01-28T18:35:02.829Z,23.7570208,90.399347,14.287193086628726,0.106,0.13,3,172
611.7222222222221,2025-01-28T18:35:02.884Z,23.7570208,90.3993472,14.293193086628726,0.123,0.14,3,172
667.3333333333331,2025-01-28T18:35:02.939Z,23.7570208,90.3993477,14.31919308662873,0.149,0.15,3,172
722.9444444444442,2025-01-28T18:35:02.994Z,23.7570206,90.3993476,14.353193086628728,0.15,0.18,3,172
778.5555555555553,2025-01-28T18:35:03.049Z,23.7570207,90.399348,14.39519308662873,0.162,0.18,3,172
834.1666666666664,2025-01-28T18:35:03.104Z,23.7570208,90.3993484,14.432193086628729,0.182,0.19,3,172
889.7777777777775,2025-01-28T18:35:03.159Z,23.7570207,90.3993485,14.472193086628728,0.186,0.21,3,172
945.3888888888886,2025-01-28T18:35:03.214Z,23.7570206,90.3993486,14.51119308662873,0.214,0.21,3,172
1001,2025-01-28T18:35:03.269Z,23.7570204,90.3993481,14.542193086628728,0.186,0.24,3,170
1053.6842105263158,2025-01-28T18:35:03.324Z,23.7570203,90.3993482,14.539193086628728,0.203,0.21,3,170
1106.3684210526317,2025-01-28T18:35:03.379Z,23.7570201,90.3993482,14.559193086628724,0.223,0.23,3,170
1159.0526315789475,2025-01-28T18:35:03.434Z,23.7570199,90.3993481,14.57519308662873,0.231,0.24,3,170
1211.7368421052633,2025-01-28T18:35:03.489Z,23.7570197,90.3993481,14.58419308662873,0.24,0.25,3,170
1264.4210526315792,2025-01-28T18:35:03.544Z,23.7570196,90.3993483,14.585193086628728,0.269,0.26,3,170
