cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D speed) [m/s],GPS (3D speed) [m/s],fix,precision
0,2025-01-28T18:31:41.419Z,23.7558414,90.4019543,21.8702520830699,3.683,3.68,3,165
55.611111111111114,2025-01-28T18:31:41.474Z,23.7558449,90.4019509,21.441252083069898,3.663,3.68,3,165
111.22222222222223,2025-01-28T18:31:41.529Z,23.7558446,90.4019477,21.6232520830699,3.749,3.66,3,165
166.83333333333334,2025-01-28T18:31:41.584Z,23.7558459,90.4019441,21.6532520830699,3.771,3.75,3,165
222.44444444444446,2025-01-28T18:31:41.639Z,23.7558484,90.4019406,21.758252083069898,3.628,3.77,3,165
278.05555555555554,2025-01-28T18:31:41.694Z,23.7558501,90.4019386,22.015252083069903,3.547,3.63,3,165
333.66666666666663,2025-01-28T18:31:41.749Z,23.7558517,90.4019368,22.298252083069904,3.669,3.55,3,165
389.2777777777777,2025-01-28T18:31:41.804Z,23.7558533,90.4019361,22.372252083069903,3.712,3.67,3,165
444.8888888888888,2025-01-28T18:31:41.859Z,23.7558546,90.4019358,22.377252083069898,3.734,3.71,3,165
500.4999999999999,2025-01-28T18:31:41.914Z,23.7558558,90.4019357,22.5262520830699,3.72,3.73,3,165
556.111111111111,2025-01-28T18:31:41.969Z,23.7558572,90.4019353,22.6632520830699,3.675,3.72,3,165
611.7222222222221,2025-01-28T18:31:42.024Z,23.7558591,90.4019342,22.7112520830699,3.71,3.67,3,165
667.3333333333331,2025-01-28T18:31:42.079Z,23.755861,90.4019339,22.7662520830699,3.701,3.71,3,165
722.9444444444442,2025-01-28T18:31:42.134Z,23.7558626,90.4019341,22.9092520830699,3.622,3.7,3,165
778.5555555555553,2025-01-28T18:31:42.189Z,23.7558643,90.401934,23.039252083069904,3.653,3.62,3,165
834.1666666666664,2025-01-28T18:31:42.244Z,23.7558666,90.4019339,23.052252083069902,3.706,3.65,3,165
889.7777777777775,2025-01-28T18:31:42.299Z,23.7558691,90.4019332,23.0782520830699,3.696,3.71,3,165
945.3888888888886,2025-01-28T18:31:42.354Z,23.7558712,90.4019324,23.1052520830699,3.607,3.7,3,165
