cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D speed) [m/s],GPS (3D speed) [m/s],fix,precision
889.7777777777775,2025-01-28T18:23:04.530Z,23.7629879,90.4103342,4.144191635778782,3.059,3.05,3,156
945.3888888888886,2025-01-28T18:23:04.585Z,23.7629867,90.4103334,4.158191635778785,3.039,3.06,3,156
1001,2025-01-28T18:23:04.640Z,23.7629855,90.4103323,4.16919163577878,3.041,3.04,3,245
1059.8823529411766,2025-01-28T18:23:04.695Z,23.7629843,90.4103311,4.159191635778782,3.071,3.04,3,245
1118.7647058823532,2025-01-28T18:23:04.750Z,23.7629829,90.4103295,4.184191635778781,3.217,3.07,3,245
1177.6470588235297,2025-01-28T18:23:04.805Z,23.7629819,90.4103285,4.177191635778783,3.14,3.22,3,245
1236.5294117647063,2025-01-28T18:23:04.860Z,23.7629807,90.4103278,4.141191635778782,3.093,3.14,3,245
1295.411764705883,2025-01-28T18:23:04.915Z,23.7629797,90.4103269,4.0841916357787795,3.062,3.09,3,245
1354.2941176470595,2025-01-28T18:23:04.970Z,23.7629783,90.4103258,4.106191635778785,3.13,3.06,3,245
1413.176470588236,2025-01-28T18:23:05.025Z,23.7629768,90.4103247,4.094191635778785,3.204,3.13,3,245
1472.0588235294126,2025-01-28T18:23:05.080Z,23.7629755,90.4103237,4.1181916357787784,3.156,3.2,3,245
1530.9411764705892,2025-01-28T18:23:05.135Z,23.7629745,90.4103227,4.100191635778785,3.12,3.16,3,245
1589.8235294117658,2025-01-28T18:23:05.190Z,23.7629732,90.4103217,4.09019163577878,3.17,3.12,3,245
1648.7058823529424,2025-01-28T18:23:05.245Z,23.7629716,90.4103206,4.061191635778783,3.271,3.17,3,245
1707.588235294119,2025-01-28T18:23:05.300Z,23.7629706,90.4103197,4.063191635778779,3.198,3.27,3,245
1766.4705882352955,2025-01-28T18:23:05.355Z,23.7629697,90.4103188,4.050191635778781,3.12,3.2,3,245
1825.352941176472,2025-01-28T18:23:05.410Z,23.7629685,90.4103177,4.054191635778778,3.109,3.12,3,245
1884.2352941176487,2025-01-28T18:23:05.465Z,23.7629673,90.4103167,3.975191635778785,3.174,3.11,3,245
1943.1176470588252,2025-01-28T18:23:05.520Z,23.7629659,90.4103157,3.9531916357787793,3.232,3.17,3,245
2002,2025-01-28T18:23:05.575Z,23.7629645,90.410315,3.9691916357787846,3.197,3.23,3,204
2054.684210526316,2025-01-28T18:23:05.630Z,23.7629631,90.4103141,3.967191635778782,3.223,3.2,3,204
2107.3684210526317,2025-01-28T18:23:05.685Z,23.7629618,90.4103134,3.9701916357787823,3.159,3.22,3,204
2160.0526315789475,2025-01-28T18:23:05.740Z,23.7629607,90.4103124,3.961191635778782,3.099,3.16,3,204
2212.7368421052633,2025-01-28T18:23:05.795Z,23.7629596,90.4103115,3.9531916357787793,3.038,3.1,3,204
2265.421052631579,2025-01-28T18:23:05.850Z,23.7629582,90.4103106,3.9321916357787785,3.127,3.04,3,204
2318.105263157895,2025-01-28T18:23:05.905Z,23.7629569,90.4103097,3.9261916357787854,3.17,3.13,3,204
2370.789473684211,2025-01-28T18:23:05.960Z,23.7629557,90.4103087,3.9261916357787854,3.167,3.17,3,204
2423.4736842105267,2025-01-28T18:23:06.015Z,23.7629546,90.4103077,3.9061916357787823,3.145,3.17,3,204
2476.1578947368425,2025-01-28T18:23:06.070Z,23.7629534,90.4103066,3.917191635778785,3.115,3.14,3,204
2528.8421052631584,2025-01-28T18:23:06.125Z,23.7629521,90.4103056,3.9191916357787804,3.145,3.12,3,204
2581.526315789474,2025-01-28T18:23:06.180Z,23.7629509,90.4103045,3.9151916357787826,3.157,3.14,3,204
2634.21052631579,2025-01-28T18:23:06.235Z,23.7629497,90.4103034,3.8851916357787815,3.224,3.16,3,204
2686.894736842106,2025-01-28T18:23:06.290Z,23.7629486,90.4103022,3.8651916357787854,3.213,3.22,3,204
2739.5789473684217,2025-01-28T18:23:06.345Z,23.7629478,90.4103009,3.8401916357787798,3.165,3.21,3,204
2792.2631578947376,2025-01-28T18:23:06.400Z,23.7629467,90.4102998,3.8241916357787815,3.136,3.17,3,204
2844.9473684210534,2025-01-28T18:23:06.455Z,23.7629455,90.410299,3.806191635778781,3.135,3.14,3,204
2897.6315789473692,2025-01-28T18:23:06.510Z,23.7629443,90.410298,3.8201916357787837,3.122,3.14,3,204
2950.315789473685,2025-01-28T18:23:06.565Z,23.7629432,90.4102969,3.8081916357787833,3.137,3.12,3,204
3003,2025-01-28T18:23:06.620Z,23.7629419,90.4102959,3.815191635778781,3.147,3.14,3,171
3058.6111111111113,2025-01-28T18:23:06.675Z,23.7629411,90.4102949,3.768191635778784,3.04,3.15,3,171
3114.2222222222226,2025-01-28T18:23:06.730Z,23.7629403,90.4102939,3.7441916357787832,2.976,3.04,3,171
3169.833333333334,2025-01-28T18:23:06.785Z,23.7629393,90.4102928,3.7151916357787798,2.967,2.98,3,171
3225.4444444444453,2025-01-28T18:23:06.840Z,23.7629382,90.4102916,3.7061916357787794,3.026,2.97,3,171
3281.0555555555566,2025-01-28T18:23:06.895Z,23.7629373,90.4102907,3.687191635778781,2.983,3.03,3,171
3336.666666666668,2025-01-28T18:23:06.950Z,23.7629362,90.4102896,3.6681916357787827,3.001,2.98,3,171
3392.277777777779,2025-01-28T18:23:07.005Z,23.7629354,90.4102891,3.6991916357787815,2.788,3,3,171
3447.8888888888905,2025-01-28T18:23:07.060Z,23.7629342,90.4102882,3.745191635778781,2.807,2.79,3,171
3503.500000000002,2025-01-28T18:23:07.115Z,23.7629327,90.4102873,3.7641916357787792,2.905,2.81,3,171
3559.111111111113,2025-01-28T18:23:07.170Z,23.7629313,90.4102863,3.778191635778782,2.977,2.91,3,171
3614.7222222222244,2025-01-28T18:23:07.225Z,23.7629303,90.4102853,3.7471916357787833,2.971,2.98,3,171
3670.3333333333358,2025-01-28T18:23:07.280Z,23.7629291,90.4102842,3.7441916357787832,3.01,2.97,3,171
3725.944444444447,2025-01-28T18:23:07.335Z,23.7629279,90.410283,3.7571916357787813,3.061,3.01,3,171
3781.5555555555584,2025-01-28T18:23:07.390Z,23.7629267,90.4102819,3.7641916357787792,3.07,3.06,3,171
3837.1666666666697,2025-01-28T18:23:07.445Z,23.7629255,90.4102808,3.772191635778782,3.092,3.07,3,171
3892.777777777781,2025-01-28T18:23:07.500Z,23.7629244,90.4102797,3.765191635778784,3.101,3.09,3,171
3948.3888888888923,2025-01-28T18:23:07.555Z,23.7629232,90.4102787,3.7371916357787853,3.111,3.1,3,171
4004,2025-01-28T18:23:07.610Z,23.762922,90.4102775,3.7331916357787804,3.16,3.11,3,180
4059.6111111111113,2025-01-28T18:23:07.665Z,23.7629208,90.4102765,3.735191635778783,3.145,3.16,3,180
4115.222222222223,2025-01-28T18:23:07.720Z,23.7629194,90.4102753,3.7661916357787817,3.204,3.15,3,180
4170.833333333334,2025-01-28T18:23:07.775Z,23.7629183,90.4102743,3.7531916357787836,3.175,3.2,3,180
4226.444444444445,2025-01-28T18:23:07.830Z,23.7629171,90.4102733,3.745191635778781,3.138,3.18,3,180
4282.055555555557,2025-01-28T18:23:07.885Z,23.7629156,90.410272,3.8041916357787784,3.243,3.14,3,180
4337.666666666668,2025-01-28T18:23:07.940Z,23.7629145,90.4102711,3.8001916357787806,3.148,3.24,3,180
4393.277777777779,2025-01-28T18:23:07.995Z,23.7629127,90.4102697,3.9191916357787804,3.444,3.15,3,180
4448.8888888888905,2025-01-28T18:23:08.050Z,23.7629115,90.4102686,3.937191635778781,3.375,3.44,3,180
4504.500000000002,2025-01-28T18:23:08.105Z,23.7629103,90.4102675,3.9021916357787845,3.366,3.37,3,180
4560.111111111113,2025-01-28T18:23:08.160Z,23.7629092,90.4102665,3.8881916357787816,3.289,3.37,3,180
4615.722222222224,2025-01-28T18:23:08.215Z,23.7629079,90.4102656,4.008191635778779,3.027,3.29,3,180
4671.333333333336,2025-01-28T18:23:08.270Z,23.7629069,90.4102645,3.9461916357787814,3.112,3.03,3,180
4726.944444444447,2025-01-28T18:23:08.325Z,23.7629058,90.4102634,3.893191635778784,3.187,3.11,3,180
4782.555555555558,2025-01-28T18:23:08.380Z,23.7629045,90.4102623,3.894191635778782,3.201,3.19,3,180
4838.16666666667,2025-01-28T18:23:08.435Z,23.7629034,90.4102613,3.880191635778779,3.136,3.2,3,180
4893.777777777781,2025-01-28T18:23:08.490Z,23.7629021,90.4102602,3.9281916357787807,3.145,3.14,3,180
4949.388888888892,2025-01-28T18:23:08.545Z,23.7629011,90.4102591,3.866191635778783,3.156,3.15,3,180
