cts,date,Gyroscope (z) [rad/s],Gyroscope (x) [rad/s],Gyroscope (y) [rad/s],temperature [°C]
0,2025-01-28T18:31:41.419Z,1.2790202342917998,-0.6261980830670927,-0.329073482428115,25
5.055555555555555,2025-01-28T18:31:41.424Z,1.3152289669861554,-0.6528221512247071,-0.26357827476038337,25
10.11111111111111,2025-01-28T18:31:41.429Z,1.349307774227902,-0.6086261980830671,-0.23375931842385517,25
15.166666666666666,2025-01-28T18:31:41.434Z,1.351437699680511,-0.533013844515442,-0.18370607028753994,25
20.22222222222222,2025-01-28T18:31:41.439Z,1.3296059637912674,-0.4329073482428115,-0.11448349307774228,25
25.27777777777778,2025-01-28T18:31:41.444Z,1.2917997870074547,-0.2854100106496273,-0.04046858359957402,25
30.333333333333336,2025-01-28T18:31:41.449Z,1.2321618743343983,-0.10969116080937168,0.05644302449414271,25
35.38888888888889,2025-01-28T18:31:41.454Z,1.1522896698615548,0.06389776357827476,0.1869009584664537,25
40.44444444444445,2025-01-28T18:31:41.459Z,1.0729499467518637,0.25612353567625135,0.31309904153354634,25
45.50000000000001,2025-01-28T18:31:41.464Z,1.0159744408945688,0.4371671991480298,0.3924387646432375,25
50.555555555555564,2025-01-28T18:31:41.469Z,0.9755058572949947,0.5543130990415336,0.41480298189563364,25
55.61111111111112,2025-01-28T18:31:41.474Z,0.9595314164004259,0.5873269435569755,0.40947816826411076,25
60.66666666666668,2025-01-28T18:31:41.479Z,0.9733759318423855,0.5862619808306709,0.3935037273695421,25
65.72222222222223,2025-01-28T18:31:41.484Z,1.0063897763578276,0.5867944621938233,0.37273695420660274,25
70.77777777777779,2025-01-28T18:31:41.489Z,1.0287539936102237,0.5804046858359957,0.34185303514376997,25
75.83333333333334,2025-01-28T18:31:41.494Z,1.0425985090521832,0.5335463258785943,0.28115015974440893,25
80.8888888888889,2025-01-28T18:31:41.499Z,1.0830670926517572,0.4217252396166134,0.19808306709265175,25
85.94444444444446,2025-01-28T18:31:41.504Z,1.115548455804047,0.2715654952076677,0.10596379126730564,25
91.00000000000001,2025-01-28T18:31:41.509Z,1.1134185303514377,0.08679446219382321,0.023961661341853034,25
96.05555555555557,2025-01-28T18:31:41.514Z,1.082534611288605,-0.08892438764643237,-0.0463258785942492,25
101.11111111111113,2025-01-28T18:31:41.519Z,1.0388711395101171,-0.21725239616613418,-0.09904153354632587,25
106.16666666666669,2025-01-28T18:31:41.524Z,1.0191693290734825,-0.2870074547390841,-0.1288604898828541,25
111.22222222222224,2025-01-28T18:31:41.529Z,1.0410010649627264,-0.30990415335463256,-0.14376996805111822,25
116.2777777777778,2025-01-28T18:31:41.534Z,1.1086261980830672,-0.30244941427050054,-0.14749733759318423,25
121.33333333333336,2025-01-28T18:31:41.539Z,1.2183173588924388,-0.2774227902023429,-0.14270500532481364,25
126.38888888888891,2025-01-28T18:31:41.544Z,1.34185303514377,-0.24121405750798722,-0.13205537806176784,25
131.44444444444446,2025-01-28T18:31:41.549Z,1.464856230031949,-0.1954206602768903,-0.12513312034078808,25
136.5,2025-01-28T18:31:41.554Z,1.5910543130990416,-0.16773162939297126,-0.1288604898828541,25
141.55555555555554,2025-01-28T18:31:41.559Z,1.718849840255591,-0.1900958466453674,-0.13312034078807242,25
146.6111111111111,2025-01-28T18:31:41.564Z,1.8003194888178913,-0.23056443024494142,-0.15069222577209798,25
151.66666666666663,2025-01-28T18:31:41.569Z,1.8157614483493079,-0.2715654952076677,-0.1900958466453674,25
156.72222222222217,2025-01-28T18:31:41.574Z,1.7965921192758254,-0.3141640042598509,-0.24121405750798722,25
161.77777777777771,2025-01-28T18:31:41.579Z,1.7715654952076678,-0.36315228966986157,-0.30404685835995743,25
166.83333333333326,2025-01-28T18:31:41.584Z,1.722577209797657,-0.4275825346112886,-0.34930777422790205,25
171.8888888888888,2025-01-28T18:31:41.589Z,1.6592119275825346,-0.5015974440894568,-0.365814696485623,25
176.94444444444434,2025-01-28T18:31:41.594Z,1.5686900958466454,-0.5452609158679447,-0.3706070287539936,25
181.9999999999999,2025-01-28T18:31:41.599Z,1.417465388711395,-0.512779552715655,-0.3844515441959531,25
187.05555555555543,2025-01-28T18:31:41.604Z,1.2380191693290734,-0.43503727369542067,-0.3966986155484558,25
192.11111111111097,2025-01-28T18:31:41.609Z,1.0447284345047922,-0.3391906283280085,-0.3652822151224707,25
197.16666666666652,2025-01-28T18:31:41.614Z,0.8359957401490948,-0.2167199148029819,-0.3109691160809372,25
202.22222222222206,2025-01-28T18:31:41.619Z,0.6554845580404686,-0.1080937167199148,-0.2625133120340788,25
207.2777777777776,2025-01-28T18:31:41.624Z,0.5841320553780618,-0.05644302449414271,-0.29020234291799785,25
212.33333333333314,2025-01-28T18:31:41.629Z,0.6261980830670927,0.08945686900958466,-0.5324813631522897,25
217.3888888888887,2025-01-28T18:31:41.634Z,0.7066027689030884,0.17358892438764642,-0.6411075612353567,25
222.44444444444423,2025-01-28T18:31:41.639Z,0.8248136315228967,0.0878594249201278,-0.5394036208732694,25
227.49999999999977,2025-01-28T18:31:41.644Z,1.005324813631523,0.0308839190628328,-0.4584664536741214,25
232.55555555555532,2025-01-28T18:31:41.649Z,1.1682641107561236,0.0926517571884984,-0.43929712460063897,25
237.61111111111086,2025-01-28T18:31:41.654Z,1.264643237486688,0.24334398296059637,-0.4435569755058573,25
242.6666666666664,2025-01-28T18:31:41.659Z,1.3429179978700745,0.3562300319488818,-0.3961661341853035,25
247.72222222222194,2025-01-28T18:31:41.664Z,1.402555910543131,0.40415335463258784,-0.3146964856230032,25
252.7777777777775,2025-01-28T18:31:41.669Z,1.4275825346112887,0.4073482428115016,-0.2598509052183174,25
257.83333333333303,2025-01-28T18:31:41.674Z,1.417465388711395,0.3610223642172524,-0.23908413205537807,25
262.8888888888886,2025-01-28T18:31:41.679Z,1.400958466453674,0.26357827476038337,-0.2380191693290735,25
267.9444444444441,2025-01-28T18:31:41.684Z,1.387646432374867,0.10915867944621938,-0.24281150159744408,25
272.99999999999966,2025-01-28T18:31:41.689Z,1.3780617678381257,-0.09211927582534611,-0.24068157614483493,25
278.0555555555552,2025-01-28T18:31:41.694Z,1.359957401490948,-0.2939297124600639,-0.23375931842385517,25
283.11111111111074,2025-01-28T18:31:41.699Z,1.3093716719914803,-0.4696485623003195,-0.23855165069222578,25
288.1666666666663,2025-01-28T18:31:41.704Z,1.2374866879659212,-0.6182108626198083,-0.2582534611288605,25
293.22222222222183,2025-01-28T18:31:41.709Z,1.1512247071352502,-0.7247071352502662,-0.2641107561235357,25
298.2777777777774,2025-01-28T18:31:41.714Z,1.066027689030884,-0.7832800851970181,-0.23429179978700745,25
303.3333333333329,2025-01-28T18:31:41.719Z,1.0223642172523961,-0.7864749733759319,-0.16240681576144836,25
308.38888888888846,2025-01-28T18:31:41.724Z,1.0106496272630459,-0.7273695420660277,-0.06017039403620873,25
313.444444444444,2025-01-28T18:31:41.729Z,1.0047923322683705,-0.6059637912673056,0.055378061767838126,25
318.49999999999955,2025-01-28T18:31:41.734Z,0.950479233226837,-0.4691160809371672,0.16773162939297126,25
323.5555555555551,2025-01-28T18:31:41.739Z,0.829073482428115,-0.3242811501597444,0.26357827476038337,25
328.61111111111063,2025-01-28T18:31:41.744Z,0.6916932907348243,-0.1443024494142705,0.3184238551650692,25
333.6666666666662,2025-01-28T18:31:41.749Z,0.5867944621938233,0.005857294994675187,0.35250266240681577,25
338.7222222222217,2025-01-28T18:31:41.754Z,0.5271565495207667,0.06975505857294995,0.3706070287539936,25
343.77777777777726,2025-01-28T18:31:41.759Z,0.5143769968051118,0.0926517571884984,0.3764643237486688,25
348.8333333333328,2025-01-28T18:31:41.764Z,0.5074547390841321,0.12726304579339723,0.3796592119275825,25
353.88888888888835,2025-01-28T18:31:41.769Z,0.4994675186368477,0.18264110756123536,0.37859424920127793,25
358.9444444444439,2025-01-28T18:31:41.774Z,0.5042598509052183,0.2167199148029819,0.365814696485623,25
363.99999999999943,2025-01-28T18:31:41.779Z,0.5271565495207667,0.21192758253461128,0.3226837060702875,25
369.055555555555,2025-01-28T18:31:41.784Z,0.5431309904153354,0.21192758253461128,0.24973375931842384,25
374.1111111111105,2025-01-28T18:31:41.789Z,0.5553780617678381,0.21565495207667731,0.15335463258785942,25
379.16666666666606,2025-01-28T18:31:41.794Z,0.580937167199148,0.22577209797657083,0.055378061767838126,25
